Lead_1,Lead_2,Lead_3,Lead_4,Lead_5,Lead_6,Lead_7,Lead_8,Lead_9,Lead_10,Lead_11,Lead_12
-0.6611165926185911,-0.7773064912844151,-0.1033692188696864,0.8142259429358305,-0.33874827952077474,-0.5246509287737364,0.5401641259914572,0.25570256752757026,0.109935815089399,-0.3130554657854532,-0.1865901622591994,-0.5032752716577209
-0.6611165926185911,-0.7773064912844151,-0.1033692188696864,0.8142259429358305,-0.33874827952077474,-0.5246509287737364,0.5401641259914572,0.2746446505004747,0.109935815089399,-0.3130554657854532,-0.16436864486909408,-0.47767760520422115
-0.6919538325050778,-0.7773064912844151,-0.07020774479918943,0.8320028483462181,-0.37565176422686547,-0.5055295510138411,0.4871688473344106,0.2746446505004747,0.12755652930661138,-0.2930162846179712,-0.16436864486909408,-0.4520799387507214
-0.6919538325050778,-0.7454315671305676,-0.03704627072869245,0.8142259429358305,-0.39410350657991083,-0.4672867954940506,0.4871688473344106,0.2746446505004747,0.16279795774103614,-0.27297710345048926,-0.14214712747898875,-0.4264822722972217
-0.5994421128456177,-0.6816817188228725,-0.03704627072869245,0.7431183212942803,-0.3572000218738201,-0.4290440399742601,0.4606712080058873,0.2746446505004747,0.16279795774103614,-0.21285955994804345,-0.14214712747898875,-0.40088460584372193
-0.5994421128456177,-0.58605694636133,0.06243815148279847,0.6897876050631176,-0.4125552489329562,-0.31431577341488853,0.43417356867736395,0.29358673347337916,0.21566010039267325,-0.1327028352781157,-0.11992561008888346,-0.3752869393902222
-0.5069303931861576,-0.5223070980536351,0.06243815148279847,0.6186799834215675,-0.33874827952077474,-0.276073017895098,0.43417356867736395,0.29358673347337916,0.250901528827098,-0.15274201644559762,-0.07548257530867285,-0.29849394002972296
-0.4452559134131842,-0.394807401438245,0.12876109962379242,0.5120185509592423,-0.30184479481468407,-0.16134475133572643,0.3811782900203173,0.25570256752757026,0.250901528827098,-0.0926244729431518,-0.031039540528462233,-0.24729860712272345
-0.3527441937537241,-0.29918262897670245,0.12876109962379242,0.38758021308652946,-0.2280378254025026,-0.06573786253625012,0.3281830113632706,0.3125288164462836,0.2861429572615227,-0.05254611060818793,-0.031039540528462233,-0.24729860712272345
-0.26023247409426403,-0.23543278066900744,0.09559962555329544,0.2809187806242042,-0.17268259834336652,-0.06573786253625012,0.3016853720347472,0.3125288164462836,0.3037636714787351,-0.03250692944070599,-0.031039540528462233,-0.24729860712272345
-0.19855799432129065,-0.1398080082074649,0.09559962555329544,0.20981115898265404,-0.13577911363727582,-0.0274951070164596,0.22219245404917723,0.3125288164462836,0.32138438569594746,0.007571432894257888,-0.008818023138356926,-0.2217009406692237
-0.13688351454831724,-0.044183235745922374,0.12876109962379242,0.08537282110994127,-0.11732737128423046,0.10635453730280722,0.03670897874951384,0.2746446505004747,0.32138438569594746,0.027610614061739827,0.035625011641853686,-0.09371260840172496
-0.10604627466183056,0.14706630917716268,0.22824552183528335,-0.0035117059419964504,-0.1542308559903212,0.24020418162207405,-0.09577921789310286,0.19887631860885693,0.3037636714787351,0.04764979522922177,0.035625011641853686,-0.06811494194822522
-0.10604627466183056,0.1789412333310102,0.2945684699762773,-0.021288611352383992,-0.17268259834336652,0.2784469371418646,-0.17527213587867288,0.16099215266304803,0.2861429572615227,0.06768897639670371,0.05784652903195899,-0.042517275494725476
-0.13688351454831724,0.11519138502331518,0.2614069959057803,0.032042104878778635,-0.17268259834336652,0.22108280386217877,-0.17527213587867288,0.08522382077143023,0.21566010039267325,0.027610614061739827,0.035625011641853686,-0.06811494194822522
-0.13688351454831724,0.051441536715620156,0.19508404776478638,0.06759591569955371,-0.11732737128423046,0.14459729282259776,-0.20176977520719622,0.06628173779852578,0.109935815089399,-0.012467748273224052,0.013403494251748381,-0.09371260840172496
-0.19855799432129065,-0.012308311592074865,0.19508404776478638,0.13870353734110388,-0.1542308559903212,0.10635453730280722,-0.22826741453571955,0.04733965482562133,0.05707367243776188,-0.05254611060818793,-0.053261057918567535,-0.09371260840172496
-0.16772075443480394,-0.044183235745922374,0.12876109962379242,0.13870353734110388,-0.09887562893118511,0.048990404023121444,-0.22826741453571955,0.028397571852716883,0.021832244003337137,-0.07258529177566987,-0.053261057918567535,-0.09371260840172496
0.04813992477060292,0.019566612561772643,-0.03704627072869245,-0.021288611352383992,0.12254527930535916,-0.008373729256564336,-0.22826741453571955,0.08522382077143023,0.021832244003337137,-0.05254611060818793,-0.031039540528462233,-0.09371260840172496
